source;relationship;target
'Harry G. Sperling Fund';'purchases';'Kneeling Nude Youth with Raised Clasped Hands'
'W. M. Brady and Co., Inc.';'sells';'Kneeling Nude Youth with Raised Clasped Hands'
'Kneeling Nude Youth with Raised Clasped Hands';'comes_from';'Etienne Jeaurat'
'Metropolitan Museum of Art';'has_possession_of';'Kneeling Nude Youth with Raised Clasped Hands'
'Reliquary with Contents';'comes_from';'Pakistan (ancient region of Gandhara)'
'Metropolitan Museum of Art';'has_possession_of';'Reliquary with Contents'
'Metropolitan Museum of Art';'purchases';'The Goddess Durga Victorious over the Buffalo Demon'
'The Goddess Durga Victorious over the Buffalo Demon';'comes_from';'Private collection, The Netherlands'
'John J. Klejman';'has_possession_of';'Crescent Ornament'
'Arnold I. Goldberg';'has_possession_of';'Crescent Ornament'
'Jane Costello Goldberg';'has_possession_of';'Crescent Ornament'
'Jane Costello Goldberg';'donates_to';'Metropolitan Museum of Art'
'Crescent Ornament';'comes_from';'Moche (Loma Negra)'
'John J. Klejman';'has_possession_of';'Crescent, Two Felines'
'Arnold I. Goldberg';'has_possession_of';'Crescent, Two Felines'
'Jane Costello Goldberg';'has_possession_of';'Crescent, Two Felines'
'Crescent, Two Felines';'comes_from';'Moche (Loma Negra)'
'Metropolitan Museum of Art';'has_possession_of';'Tumi with Figure'
'John J. Klejman';'obtains_from';'Galerie Le Corneur-Roudillon, Paris'
'Metropolitan Museum of Art';'obtains_from';'John J. Klejman'
'John J. Klejman';'has_possession_of';'Copper Mace Head'
'Arnold I. Goldberg';'has_possession_of';'Copper Mace Head'
'Jane Costello Goldberg';'has_possession_of';'Copper Mace Head'
'Copper Mace Head';'comes_from';'Vicús'
'C. T. Loo & Co.';'sells';'Ceremonial Staff'
'C. T. Loo & Co.';'sells';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Ceremonial Staff'
'Ceremonial Staff';'comes_from';'China'
'Doris Wiener';'donates_to';'Metropolitan Museum of Art'
'Jyeshtha Flanked by Her Children';'comes_from';'India (Tamil Nadu)'
'Metropolitan Museum of Art';'has_possession_of';'Jyeshtha Flanked by Her Children'
'Walter Hatke';'has_role';'Artist'
'Summer Music';'comes_from';'Walter Hatke'
'Paul Klee Society, Bern';'has_possession_of';'Window Display for Lingerie'
'Rolf and Margit Dreyfus, Basel';'has_possession_of';'Window Display for Lingerie'
'Metropolitan Museum of Art';'has_possession_of';'Window Display for Lingerie'
'Paul Klee';'has_role';'Artist'
'The Berggruen Klee Collection';'donates_to';'Metropolitan Museum of Art'
'Douglas A. J. Latchford';'sells';'Standing Female Deity, probably Uma'
'Douglas A. J. Latchford';'sells';'Spink & Son Ltd.'
'Spink & Son Ltd.';'sells';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Standing Female Deity, probably Uma'
'Standing Female Deity, probably Uma';'comes_from';'Cambodia'
'Douglas J. Latchford';'donates_to';'Metropolitan Museum of Art'
'Head of a Buddha';'comes_from';'Cambodia'
'Metropolitan Museum of Art';'has_possession_of';'Head of a Buddha'
'Douglas J. Latchford';'has_possession_of';'Head of a Buddha'
'The God Danda and the Goddess Niksubha (Attendants)';'comes_from';'India'
'Metropolitan Museum of Art';'has_possession_of';'The God Danda and the Goddess Niksubha (Attendants)'
'Harry G. Sperling Fund';'purchases';'Venus Teaching Cupid to Use His Bow'
'Venus Teaching Cupid to Use His Bow';'comes_from';'Germain Seligman'
'Venus Teaching Cupid to Use His Bow';'comes_from';'Christian Humann'
'Metmuseum';'has_possession_of';'Venus Teaching Cupid to Use His Bow'
'Ella Brummer';'donates_to';'Metropolitan Museum of Art'
'Processional Cross';'comes_from';'Raimundo Ruíz Ruíz'
'Metropolitan Museum of Art';'has_possession_of';'Processional Cross'
'John J. Klejman';'has_possession_of';'Helmet Mask'
'John J. Klejman';'sells';'Helmet Mask'
'Mr. and Mrs. J. Gordon Douglas III';'has_possession_of';'Helmet Mask'
'Mr. and Mrs. J. Gordon Douglas III';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Helmet Mask'
'Mr. and Mrs. J. Gordon Douglas III';'purchases';'Helmet Mask'
'Helmet Mask';'comes_from';'Senufo peoples'
'John J. Klejman';'has_possession_of';'Mask'
'John J. Klejman';'sells';'Mask'
'Mr. and Mrs. J. Gordon Douglas III';'purchases';'Mask'
'Mask';'comes_from';'Aduma peoples'
'John J. Klejman';'has_possession_of';'Headdress: Janus'
'Mr. and Mrs. J. Gordon Douglas III';'has_possession_of';'Headdress: Janus'
'Headdress: Janus';'comes_from';'Boki peoples'
'John J. Klejman';'has_possession_of';'Headdress: Hippopotamus'
'John J. Klejman';'sells';'Headdress: Hippopotamus'
'Mr. and Mrs. J. Gordon Douglas III';'purchases';'Headdress: Hippopotamus'
'Headdress: Hippopotamus';'comes_from';'Cameroon'
'Raymonde Paul';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Jardin de Paris (Design for a Poster)'
'Georges Lévy';'has_possession_of';'Jardin de Paris (Design for a Poster)'
'Brummer Gallery, Paris and New York';'has_possession_of';'Comb | French (?)  Museum of Art'
'Metropolitan Museum of Art';'purchases';'Comb | French (?)  Museum of Art'
'Comb | French (?)  Museum of Art';'comes_from';'Brummer Gallery, Paris and New York'
'Pax';'comes_from';'Spanish'
'Pax';'has_possession_of';'Metropolitan Museum of Art'
'Pax';'comes_from';'Mrs. Renée Donath'
'Doris Wiener Gallery';'has_possession_of';'Avalokiteshvara, the Bodhisattva of Infinite Compassion'
'Doris Wiener Gallery';'sells';'Avalokiteshvara, the Bodhisattva of Infinite Compassion'
'Doris Wiener Gallery';'sells';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Avalokiteshvara, the Bodhisattva of Infinite Compassion'
'Avalokiteshvara, the Bodhisattva of Infinite Compassion';'comes_from';'Nepal (Kathmandu Valley)'
'Doris Wiener Gallery';'has_possession_of';'The Bodhisattva Maitreya, the Buddha of the Future'
'Doris Wiener Gallery';'sells';'The Bodhisattva Maitreya, the Buddha of the Future'
'Metropolitan Museum of Art';'purchases';'The Bodhisattva Maitreya, the Buddha of the Future'
'The Bodhisattva Maitreya, the Buddha of the Future';'comes_from';'Nepal'
'Doris Wiener Gallery';'has_possession_of';'The Bodhisattva Padmapani Lokeshvara'
'Metropolitan Museum of Art';'purchases';'The Bodhisattva Padmapani Lokeshvara'
'The Bodhisattva Padmapani Lokeshvara';'comes_from';'Nepal, Kathmandu Valley'
'Mrs. George Khuner';'donates_to';'Metropolitan Museum of Art'
'George Khuner';'has_possession_of';'Vera et Accurata Delineartio Omnium Temporumm'
'Vera et Accurata Delineartio Omnium Temporumm';'comes_from';'Salomon Kleiner'
'Brummer';'purchases';'Weight in the shape of a duck'
'Brummer';'buys_from';'Géjou, Paris'
'Louise Crane';'donates_to';'Metropolitan Museum of Art'
'Weight in the shape of a duck';'comes_from';'ca. late 3rd–early 2nd millennium B.C.'
'Metropolitan Museum of Art';'has_possession_of';'Weight in the shape of a duck'
'Joseph Brummer';'purchases';'Relief: head and shoulders of a beardless man, ca. 721–705 B.C.'
'Joseph Brummer';'buys_from';'Ugo Jandolo'
'Metropolitan Museum of Art';'has_possession_of';'Relief: head and shoulders of a beardless man, ca. 721–705 B.C.'
'Relief: head and shoulders of a beardless man, ca. 721–705 B.C.';'comes_from';'Assyrian'
'Charles Ratton';'has_possession_of';'Altar Ring'
'Charles Ratton';'sells';'Altar Ring'
'Metropolitan Museum of Art';'has_possession_of';'Altar Ring'
'Altar Ring';'comes_from';'Lower Niger Bronze Industry'
'Harry G. Sperling Fund';'purchases';'Allegorical Composition in Honor of George I, King of Great Britain'
'Metropolitan Museum of Art';'has_possession_of';'Allegorical Composition in Honor of George I, King of Great Britain'
'Allegorical Composition in Honor of George I, King of Great Britain';'comes_from';'Selz'
'William O. Oldman';'has_possession_of';'Club (Sali)'
'John J. Klejman';'has_possession_of';'Club (Sali)'
'Metropolitan Museum of Art';'has_possession_of';'Club (Sali)'
'Club (Sali)';'comes_from';'Fijian'
'John J. Klejman';'has_possession_of';'Dance Wand (Rei)'
'Nelson A. Rockefeller';'has_possession_of';'Dance Wand (Rei)'
'Metropolitan Museum of Art';'has_possession_of';'Dance Wand (Rei)'
'Dance Wand (Rei)';'comes_from';'Sulka people'
'Metropolitan Museum of Art';'has_possession_of';'Female Figure'
'Esther Scheinman';'has_possession_of';'Female Figure'
'Esther Scheinman';'donates_to';'Metropolitan Museum of Art'
'A West African mine official';'has_possession_of';'Head of an Oba'
'Head of an Oba';'comes_from';'16th century'
'Head of an Oba';'comes_from';'Edo artist'
'Webster Plass';'sells';'Club (Supe or Subi)'
'John J. Klejman';'obtains_from';'Webster Plass'
'John J. Klejman';'sells';'Club (Supe or Subi)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Club (Supe or Subi)'
'Club (Supe or Subi)';'comes_from';'Malaita Island'
'John J. Klejman';'has_possession_of';'Coconut Grating Stool (Te Rakau Saro Nui [?])'
'Nelson A. Rockefeller';'has_possession_of';'Coconut Grating Stool (Te Rakau Saro Nui [?])'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Coconut Grating Stool (Te Rakau Saro Nui [?])'
'The Michael C. Rockefeller Memorial Collection';'donates_to';'Metropolitan Museum of Art'
'Coconut Grating Stool (Te Rakau Saro Nui [?])';'comes_from';'Tikopia Island'
'John J. Klejman';'has_possession_of';'Figure | Murik Lakes'
'John J. Klejman';'sells';'Figure | Murik Lakes'
'Nelson A. Rockefeller';'has_possession_of';'Figure | Murik Lakes'
'Nelson A. Rockefeller';'sells';'Figure | Murik Lakes'
'Metropolitan Museum of Art';'has_possession_of';'Figure | Murik Lakes'
'Figure | Murik Lakes';'comes_from';'Murik Lakes'
'John J. Klejman';'has_possession_of';'Coconut Grating Stool'
'Nelson A. Rockefeller';'has_possession_of';'Coconut Grating Stool'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Coconut Grating Stool'
'Coconut Grating Stool';'comes_from';'Caroline Islands, Nukuoro'
'John J. Klejman';'has_possession_of';'Mask | Murik Lakes'
'Nelson A. Rockefeller';'has_possession_of';'Mask | Murik Lakes'
'Metropolitan Museum of Art';'has_possession_of';'Mask | Murik Lakes'
'Mask | Murik Lakes';'comes_from';'Murik Lakes'
'John J. Klejman';'has_possession_of';"Chief's Stool (No'oanga)"
'John J. Klejman';'sells';"Chief's Stool (No'oanga)"
'Nelson A. Rockefeller';'has_possession_of';"Chief's Stool (No'oanga)"
'Nelson A. Rockefeller';'donates_to';'The Michael C. Rockefeller Memorial Collection'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';"Chief's Stool (No'oanga)"
'Metropolitan Museum of Art';'has_possession_of';"Chief's Stool (No'oanga)"
'John J. Klejman';'has_possession_of';'Bird Figure'
'Nelson A. Rockefeller';'has_possession_of';'Bird Figure'
'Metropolitan Museum of Art';'has_possession_of';'Bird Figure'
'Bird Figure';'comes_from';'India'
'John J. Klejman';'has_possession_of';'Mask | Adjora or Aion'
'Nelson A. Rockefeller';'has_possession_of';'Mask | Adjora or Aion'
'Metropolitan Museum of Art';'has_possession_of';'Mask | Adjora or Aion'
'Metropolitan Museum of Art';'obtains_from';'Nelson A. Rockefeller'
'John J. Klejman';'has_possession_of';'Shield'
'Nelson A. Rockefeller';'has_possession_of';'Shield'
'Metropolitan Museum of Art';'has_possession_of';'Shield'
'Shield';'comes_from';'Asmat people'
'Metropolitan Museum of Art';'has_possession_of';'Head | Babylonian | Neo-Babylonian'
'Head | Babylonian | Neo-Babylonian';'comes_from';'Formerly collection of Daud Messayeh, Baghdad'
'Christos G. Bastis';'purchases';"Harness or bridle ornament in the form of a boar's head"
'Christos G. Bastis';'buys_from';'John Klejman'
'Christos G. Bastis';'donates_to';'Metropolitan Museum of Art'
"Harness or bridle ornament in the form of a boar's head";'comes_from';'Scythian'
'John J. Klejman';'has_possession_of';'Ladle'
'Nelson A. Rockefeller';'has_possession_of';'Ladle'
'Metropolitan Museum of Art';'has_possession_of';'Ladle'
'Ladle';'comes_from';'Austral Islanders'
'William O. Oldman';'has_possession_of';'Dance Paddle(?)'
'John J. Klejman';'obtains_from';'William O. Oldman'
'John J. Klejman';'sells';'Dance Paddle(?)'
'Metropolitan Museum of Art';'has_possession_of';'Dance Paddle(?)'
'Harry G. Beasley';'is_the_owner_of';'Cranmore Museum, Chiselhurst'
'Cranmore Museum, Chiselhurst';'has_possession_of';'Flute (Putorino)'
'Metropolitan Museum of Art';'has_possession_of';'Flute (Putorino)'
'Flute (Putorino)';'comes_from';'Maori people'
'John J. Klejman';'has_possession_of';'Bowl | Maya  Museum of Art'
'Nelson A. Rockefeller';'has_possession_of';'Bowl | Maya  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Bowl | Maya  Museum of Art'
'Bowl | Maya  Museum of Art';'comes_from';'Mexico, Mesoamerica'
'Nelson A. Rockefeller';'has_possession_of';'Mask'
'Nelson A. Rockefeller';'sells';'Mask'
'Metropolitan Museum of Art';'has_possession_of';'Mask'
'Mask';'comes_from';'Inuit'
'John J. Klejman';'has_possession_of';'Figurine of Seated Couple'
'John J. Klejman';'sells';'Figurine of Seated Couple'
'Nelson A. Rockefeller';'has_possession_of';'Figurine of Seated Couple'
'Nelson A. Rockefeller';'sells';'Figurine of Seated Couple'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Figurine of Seated Couple'
'Metropolitan Museum of Art';'has_possession_of';'Figurine of Seated Couple'
'Figurine of Seated Couple';'comes_from';'Kulango peoples'
'Hunter Figurine';'comes_from';'Senufo peoples'
'John J. Klejman';'has_possession_of';'Hunter Figurine'
'Nelson A. Rockefeller';'has_possession_of';'Hunter Figurine'
'Metropolitan Museum of Art';'has_possession_of';'Hunter Figurine'
'John J. Klejman';'has_possession_of';'Face Mask (Do)'
'Nelson A. Rockefeller';'has_possession_of';'Face Mask (Do)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Face Mask (Do)'
'Face Mask (Do)';'comes_from';'Senufo or Dyula peoples'
'John J. Klejman';'has_possession_of';'Face Mask (Kpan)'
'John J. Klejman';'sells';'Face Mask (Kpan)'
'Nelson A. Rockefeller';'has_possession_of';'Face Mask (Kpan)'
'Nelson A. Rockefeller';'sells';'Face Mask (Kpan)'
'Metropolitan Museum of Art';'has_possession_of';'Face Mask (Kpan)'
'Face Mask (Kpan)';'comes_from';'Baule peoples'
'Mask';'comes_from';'Guere peoples'
'John J. Klejman';'has_possession_of';'Helmet Mask with Female Figure'
'John J. Klejman';'sells';'Nelson A. Rockefeller'
'Nelson A. Rockefeller';'has_possession_of';'Helmet Mask with Female Figure'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Helmet Mask with Female Figure'
'Helmet Mask with Female Figure';'comes_from';'Senufo peoples'
'John J. Klejman';'has_possession_of';'Platter (Siye Kon)'
'Nelson A. Rockefeller';'has_possession_of';'Platter (Siye Kon)'
'Metropolitan Museum of Art';'has_possession_of';'Platter (Siye Kon)'
'Platter (Siye Kon)';'comes_from';'Ambrym Island'
'John J. Klejman';'has_possession_of';'Shell Plaque (Barava)'
'Nelson A. Rockefeller';'has_possession_of';'Shell Plaque (Barava)'
'Metropolitan Museum of Art';'has_possession_of';'Shell Plaque (Barava)'
'Shell Plaque (Barava)';'comes_from';'Solomon Islander'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Shell Plaque (Barava)'
'Shell Plaque (Barava)';'comes_from';'Solomon Islands'
'Werner Muensterberger';'has_possession_of';'Churinga'
'John J. Klejman';'has_possession_of';'Churinga'
'Metropolitan Museum of Art';'has_possession_of';'Churinga'
'Churinga';'comes_from';'Pitjantjatjara'
'William O. Oldman';'has_possession_of';'Club | Santa Isabel Island'
'John J. Klejman';'has_possession_of';'Club | Santa Isabel Island'
'Metropolitan Museum of Art';'has_possession_of';'Club | Santa Isabel Island'
'Club | Santa Isabel Island';'comes_from';'Santa Isabel Island'
'William O. Oldman';'works_with';'John J. Klejman'
'John J. Klejman';'works_with';'William O. Oldman'
'John J. Klejman';'sells';'Parrying Club (Roromaraugi [?])'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Parrying Club (Roromaraugi [?])'
'Parrying Club (Roromaraugi [?])';'comes_from';'Makira Island'
'John J. Klejman';'has_possession_of';'Club | Pentecost Island'
'Nelson A. Rockefeller';'has_possession_of';'Club | Pentecost Island'
'Metropolitan Museum of Art';'has_possession_of';'Club | Pentecost Island'
'Club | Pentecost Island';'comes_from';'Pentecost Island'
'Metropolitan Museum of Art';'has_possession_of';'Club | Ambrym Island'
"The Grandson of Malmer'r of Libi, Ambryn Island";'comes_from';'Club | Ambrym Island'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Club | Ambrym Island'
'William O. Oldman';'has_possession_of';'Club | Pentecost Island'
'John J. Klejman';'sells';'Club | Pentecost Island'
'Metropolitan Museum of Art';'purchases';'Club | Pentecost Island'
'Metropolitan Museum of Art';'buys_from';'John J. Klejman'
'William O. Oldman';'has_possession_of';'Club (Supe or Subi)'
'John J. Klejman';'has_possession_of';'Headdress: Canoe (a-Bil-ña-Tshol)'
'Nelson A. Rockefeller';'has_possession_of';'Headdress: Canoe (a-Bil-ña-Tshol)'
'The Michael C. Rockefeller Memorial Collection';'has_possession_of';'Headdress: Canoe (a-Bil-ña-Tshol)'
'Headdress: Canoe (a-Bil-ña-Tshol)';'comes_from';'Baga peoples'
'John J. Klejman';'has_possession_of';'Helmet Mask (Bwoom)'
'John J. Klejman';'sells';'Helmet Mask (Bwoom)'
'Nelson A. Rockefeller';'has_possession_of';'Helmet Mask (Bwoom)'
'Nelson A. Rockefeller';'sells';'Helmet Mask (Bwoom)'
'Metropolitan Museum of Art';'has_possession_of';'Helmet Mask (Bwoom)'
'Helmet Mask (Bwoom)';'comes_from';'Kuba peoples'
'John J. Klejman';'has_possession_of';'Stone Fetish Figure'
'Nelson A. Rockefeller';'has_possession_of';'Stone Fetish Figure'
'Metropolitan Museum of Art';'has_possession_of';'Stone Fetish Figure'
'Stone Fetish Figure';'comes_from';'Zuni'
'John J. Klejman';'has_possession_of';'Mask: Female Figure (Satimbe)'
